label,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21
0.47703783964,0.00208,1.287e-05,0.00072,0.00105,0.00216,0.01759,0.154,0.00806,0.01023,0.0188,0.02418,0.002838,27.099,0.51511,0.57341,0.13399
0.154004834139,0.00685,4.968e-05,0.00302,0.00399,0.00907,0.03645,0.327,0.01847,0.02205,0.02954,0.05542,0.036966,19.645,0.57472,0.73373,0.25354
0.0139377396233,0.00389,2.484e-05,0.00135,0.00179,0.00404,0.02474,0.221,0.01173,0.01417,0.02276,0.03519,0.007307,24.225,0.51839,0.60586,0.16451
0.383168028005,0.00676,4.798e-05,0.00377,0.00396,0.01132,0.03329,0.296,0.01715,0.02067,0.02912,0.05144,0.015589,19.99,0.54038,0.69615,0.23578
0.84303633939,0.00328,1.626e-05,0.00168,0.00188,0.00503,0.01876,0.166,0.00933,0.01043,0.01416,0.02798,0.019733,23.942,0.40431,0.57569,0.15793
0.144607434572,0.00592,3.303e-05,0.00292,0.00264,0.00876,0.0252,0.262,0.01156,0.0149,0.0233,0.03468,0.012418,26.195,0.50858,0.7505,0.21379
0.373499749958,0.00505,4.058e-05,0.00191,0.00304,0.00574,0.02346,0.205,0.0107,0.01427,0.02479,0.03209,0.006945,22.746,0.45035,0.77643,0.24636
0.178342223704,0.00516,3.01e-05,0.00268,0.0026,0.00804,0.02754,0.242,0.015,0.01452,0.02086,0.04499,0.007013,24.952,0.56507,0.74094,0.21301
0.788902317053,0.00282,1.485e-05,0.00136,0.0015,0.00409,0.01462,0.121,0.00737,0.00806,0.01163,0.02211,0.00395,26.909,0.48639,0.5598,0.14241
0.192219536589,0.00421,3.341e-05,0.00198,0.00209,0.00593,0.0245,0.252,0.00946,0.01428,0.02252,0.02839,0.009532,26.964,0.43614,0.79585,0.10682
0.267377896316,0.00471,4.494e-05,0.00222,0.0027,0.00665,0.02796,0.241,0.01562,0.01862,0.02279,0.04687,0.013364,20.001,0.49694,0.76755,0.24491
1.0,0.00638,4.049e-05,0.00312,0.00324,0.00935,0.05564,0.515,0.02685,0.035,0.05234,0.08054,0.018629,20.895,0.49088,0.70887,0.29148
0.40044174029,0.00268,2.189e-05,0.00111,0.00152,0.00333,0.02834,0.24,0.01542,0.01785,0.02168,0.04626,0.00844,22.601,0.66745,0.61332,0.14639
0.20261710285,0.00839,6.837e-05,0.00408,0.00428,0.01224,0.04359,0.368,0.02381,0.02464,0.02692,0.07144,0.022128,19.209,0.51979,0.78761,0.25866
0.251104350725,0.01214,0.00012197,0.00566,0.00619,0.01699,0.06207,0.558,0.0296,0.02643,0.04478,0.0888,0.10281,15.252,0.72632,0.60198,0.486
0.374291548591,0.00354,3.864e-05,0.00157,0.00216,0.00472,0.01308,0.111,0.00634,0.0083,0.0141,0.01901,0.013482,20.384,0.5688,0.57065,0.18142
0.255438406401,0.00482,5.445e-05,0.00206,0.00284,0.00618,0.05712,0.494,0.03161,0.03681,0.04096,0.09483,0.043069,15.739,0.65926,0.72777,0.20354
0.26827387898,0.00542,5.234e-05,0.00289,0.00318,0.00868,0.04622,0.41,0.02508,0.02778,0.0383,0.07525,0.024012,17.658,0.62723,0.73395,0.2674
0.573699783297,0.00388,3.462e-05,0.0021,0.00237,0.00629,0.03519,0.305,0.01897,0.02192,0.02807,0.05691,0.009957,21.642,0.54543,0.7107,0.18505
0.0199095682614,0.00233,1.336e-05,0.00106,0.00122,0.00319,0.01543,0.135,0.00775,0.00884,0.01418,0.02326,0.002507,27.522,0.27569,0.58547,0.16516
0.178342223704,0.00458,2.517e-05,0.00189,0.0024,0.00568,0.01771,0.181,0.00809,0.00991,0.01456,0.02428,0.012232,22.587,0.53997,0.6835,0.24125
0.402337889648,0.00263,1.083e-05,0.00134,0.00137,0.00402,0.01593,0.151,0.00809,0.00888,0.01146,0.02427,0.004195,27.09,0.61375,0.58569,0.086885
